0    [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadXMLSQL  - Inside establish connection listener
17   [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.ConnectToDB  - Loading driver...
48   [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.ConnectToDB  - Driver loaded!
48   [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.ConnectToDB  - Connecting database...
1970 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.ConnectToDB  - Database connected!
4014 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadXMLSQL  - Inside load file listener
4322 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadDocument  - File succesfully read.
4337 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Creating database...com.mysql.jdbc.JDBC4Connection@3eb47d28
9346 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Database created successfully
9925 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table BaseVoltage in given database successfully
10408 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table Substation in given database successfully
10736 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table VoltageLevel in given database successfully
11017 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table Equipment Container in given database successfully
11501 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table PowerSystemResource in given database successfully
11902 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table GeneratingUnit in given database successfully
12355 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table RegulatingControl successfully
12823 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table SynchronousMachine in given database successfully
13213 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table Analog successfully
13666 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table Disconnector successfully
14545 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table Breaker successfully
14859 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table PowerTransformer successfully
15406 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table TransformerWinding successfully
15906 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.CreateTable  - Created table Loads successfully
16146 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadXMLSQL  - Read the base voltage contents from the XML file
16287 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadXMLSQL  - Read the base voltage contents from the XML file
17397 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.EquipmentContainer  - Reading lines content from the XML
17413 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.EquipmentContainer  - Succesfully read lines content from the XML
22062 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Analog  - Read the analog contents from the XML file, loaded to the database
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadXMLSQL  - Loading AC Line Segments from the file
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.LoadXMLSQL  - Read succefully the ac line segment contents from the XML file
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.ConnectivityNode  - Reading the connectivity contents from the XML File
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.ConnectivityNode  - Succesfully read the connectivity contents from the XML File
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - Loading the terminal from the XML File
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - GEN1_T1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - _ID_SUB1_ShynchMachine_Gen1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - TR1W1_T1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - _ID_TR1_W1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - TR1W2_T1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - _ID_TR1_W2
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - BUS1_T1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - _ID_SUB1_BUS1_2F6957E4EF4559BF7EB
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - BUS1_Low_T1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - _ID_SUB1_BUS1_Low_57E4EF4559BF7EB
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - B1_T1
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - _B11ED8476CA04C87AFE0EEABE4C974A7
22073 [AWT-EventQueue-0] DEBUG com.caeps.systemcomponents.Terminal  - B1_T2
